     464   a_wgt =    0.001  b_wgt =    0.020
  257        15   16   11   12   -0.45072326E+00
  258        16   17   11   12   -0.56600463E+00
  259        17   18   11   12   -0.69989623E-02
  260        18   19   11   12   -0.12146637E-01
  261        19   20   11   12   -0.16031871E-01
  262        20   21   11   12   -0.21813966E-01
  263        21   22   11   12   -0.22109115E-01
  264        22   23   11   12   -0.18953554E-01
  265        23   24   11   12   -0.17338237E-01
  266        24   25   11   12   -0.11521349E-01
  267        25   26   11   12   -0.72837234E-02
  268        26   27   11   12   -0.82353596E-04
  269        27   28   11   12   -0.33335416E-02
  270        28   29   11   12   -0.43600886E-02
  271        29   30   11   12   -0.37277048E-02
  272        30   31   11   12   -0.15808591E-02
  273        31   32   11   12   -0.77533891E-03
  274        32    1   11   12   -0.12232274E+00
  275        14   15   12   13   -0.52999964E+01
  276        15   16   12   13   -0.12902182E+01
  277        16   17   12   13   -0.12047122E+01
  278        17   18   12   13   -0.16029611E-01
  279        18   19   12   13   -0.21073235E-01
  280        19   20   12   13   -0.25335319E-01
  281        20   21   12   13   -0.28001022E-01
  282        21   22   12   13   -0.20743540E-01
  283        22   23   12   13   -0.18154779E-01
  284        23   24   12   13   -0.11991127E-01
  285        24   25   12   13   -0.58245468E-02
  286        25   26   12   13    0.19482711E-02
  287        26   27   12   13    0.37563245E-02
  288        27   28   12   13    0.18237046E-02
  289        28   29   12   13    0.74117223E-03
  290        29   30   12   13   -0.16111374E-02
  291        30   31   12   13   -0.11419751E-02
  292        31   32   12   13   -0.99132839E-03
  293        32    1   12   13   -0.88690698E-01
  294        15   16   13   14   -0.54728241E+01
  295        16   17   13   14   -0.25889208E+01
  296        17   18   13   14   -0.26715044E-01
  297        18   19   13   14   -0.31065617E-01
  298        19   20   13   14   -0.34701966E-01
  299        20   21   13   14   -0.30104149E-01
  300        21   22   13   14   -0.21810338E-01
  301        22   23   13   14   -0.15721932E-01
  302        23   24   13   14   -0.71673589E-02
  303        24   25   13   14   -0.12402128E-02
  304        25   26   13   14    0.52917525E-02
  305        26   27   13   14    0.57176398E-02
  306        27   28   13   14    0.65130647E-02
  307        28   29   13   14    0.24869093E-02
  308        29   30   13   14    0.22845343E-05
  309        30   31   13   14    0.31692157E-02
  310        31   32   13   14   -0.22716122E-03
  311        32    1   13   14   -0.65688036E-01
  312        16   17   14   15   -0.78602943E+01
  313        17   18   14   15   -0.30722285E-01
  314        18   19   14   15   -0.33154689E-01
  315        19   20   14   15   -0.31713478E-01
  316        20   21   14   15   -0.27698828E-01
  317        21   22   14   15   -0.21317448E-01
  318        22   23   14   15   -0.10496398E-01
  319        23   24   14   15   -0.50187716E-02
  320        24   25   14   15    0.12525530E-02
  321        25   26   14   15    0.46757902E-02
  322        26   27   14   15    0.67719859E-02
  323        27   28   14   15    0.43307068E-02
  324        28   29   14   15    0.82657661E-03
  325        29   30   14   15    0.23413112E-02
  326        30   31   14   15    0.73575648E-03
  327        31   32   14   15    0.13467679E-02
